Year,Address of the list of panel members (date is included in the address - should be preferably around October each year),Comment,Website type
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=191,technicke vedy podoborova komise,partial sucess
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=192,pridodni vedy podoborova komise,parced/parlty parced
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=193,lekarske vedy podoborova komise,?
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=194,spolecenske vedy podoborova komise,parced
,https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/?p=195,zemledelske vedy podoborova komise,parced
7/10/2007,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=185, technicke vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=186,pridodni vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=187,lekarske vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=188,spolecenske vedy oborova komise,"paced, no table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=189,zemledelske vedy oborova komise,"parced, lackes table"
7/10/2007,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=191,technicke vedy podoborova komise,"parced, lackes table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=192,pridodni vedy podoborova komise,"parced, lackes table"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=193,lekarske vedy podoborova komise,"parced, lackes table + partial sucess (more info in log) eventually parced normally"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=194,spolecenske vedy podoborova komise,"parced, lackes table + partial sucess (more info in log), eventually parced normally"
,https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/?p=195,zemledelske vedy podoborova komise,"parced, lacked table"
2006,,,
